TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133018.6354,-1898.1,25813.06,13023.23,42149.6,40571.5,30392.79
1133018.6374,-1885.27,25767.9,12820.96,42125.66,40495.83,30341.25
1133018.6394,-1863.91,25735.76,12601.28,42114.22,40423.64,30296.28
1133018.6414,-1836.63,25726.94,12424.42,42120.99,40375.91,30281.36
1133018.6434,-1843.88,25778.68,12585.16,42153.79,40437.89,30327.09
1133018.6454,-1865.67,25817.3,12814.81,42166.0,40510.04,30366.33
1133018.6474,-1882.36,25834.23,12953.66,42167.81,40550.33,30389.26
1133018.6494,-1905.68,25859.6,13154.08,42179.3,40618.71,30434.14
1133018.6514,-1914.45,25820.35,13080.74,42150.45,40589.0,30405.14
1133018.6534,-1899.67,25780.59,12880.47,42130.62,40522.48,30359.22
1133018.6554,-1880.31,25752.26,12683.92,42123.08,40457.68,30318.45
1133018.6574,-1855.76,25723.84,12454.56,42116.79,40383.3,30286.51
1133018.6594,-1852.37,25753.55,12498.52,42133.53,40398.94,30305.72
1133018.6614,-1869.54,25805.38,12751.01,42159.8,40486.96,30360.99
1133018.6634,-1876.69,25831.56,12905.89,42167.29,40536.6,30392.7
1133018.6654,-1891.09,25867.85,13109.26,42182.5,40607.89,30441.67
1133018.6674,-1919.41,25838.04,13140.3,42155.41,40604.31,30422.64
1133018.6694,-1905.63,25795.65,12954.81,42137.53,40543.89,30376.96
1133018.6714,-1888.61,25762.99,12752.2,42127.71,40477.81,30330.23
1133018.6734,-1887.61,25722.79,12522.94,42109.45,40399.79,30286.7
1133018.6754,-1876.59,25725.42,12429.0,42117.79,40372.47,30282.45
1133018.6774,-1872.35,25791.03,12663.8,42152.51,40457.02,30343.58
1133018.6794,-1879.07,25820.64,12846.09,42156.99,40512.09,30376.87
1133018.6814,-1894.47,25840.0,13022.52,42164.0,40570.88,30411.25
1133018.6834,-1909.88,25844.39,13159.52,42161.23,40613.13,30434.52
1133018.6854,-1904.77,25803.86,13020.42,42140.77,40564.83,30399.37
1133018.6874,-1892.04,25762.85,12803.75,42122.94,40488.87,30343.35
1133018.6894,-1883.98,25731.09,12603.0,42107.78,40419.73,30296.9
1133018.6914,-1873.06,25705.48,12400.91,42102.15,40356.16,30265.48
1133018.6934,-1867.72,25763.8,12573.63,42139.87,40419.58,30313.4
1133018.6954,-1868.92,25812.87,12798.12,42165.95,40501.17,30367.81
1133018.6974,-1893.81,25824.26,12956.91,42161.23,40544.71,30391.36
1133018.6994,-1903.06,25852.25,13151.55,42173.58,40611.65,30430.61
1133018.7014,-1911.12,25818.78,13093.43,42153.6,40589.15,30410.1
1133018.7034,-1892.04,25774.82,12877.28,42133.72,40517.0,30363.52
1133018.7054,-1871.16,25747.97,12692.26,42122.99,40454.06,30321.55
1133018.7074,-1862.34,25705.96,12442.35,42105.2,40371.85,30273.87
1133018.7094,-1876.74,25740.1,12489.03,42128.52,40395.17,30301.81
1133018.7114,-1903.01,25785.26,12724.31,42145.3,40467.79,30350.55
1133018.7134,-1897.05,25816.63,12901.69,42159.04,40528.11,30392.51
1133018.7154,-1906.92,25842.91,13091.61,42166.33,40592.1,30428.27
1133018.7174,-1917.89,25827.36,13135.24,42153.22,40602.88,30423.36
1133018.7194,-1902.77,25781.01,12942.22,42133.19,40540.27,30378.73
1133018.7214,-1886.46,25750.21,12746.38,42125.52,40475.33,30336.34
1133018.7234,-1869.2,25716.83,12528.28,42111.93,40400.61,30290.42
1133018.7254,-1855.52,25723.51,12426.9,42123.99,40375.38,30286.08
1133018.7274,-1871.68,25779.06,12662.08,42155.08,40457.11,30343.68
1133018.7294,-1882.17,25809.24,12850.43,42160.56,40511.18,30377.68
1133018.7314,-1901.91,25831.7,13023.19,42169.48,40572.12,30413.54
1133018.7334,-1918.55,25845.29,13156.84,42174.92,40621.86,30439.52
1133018.7354,-1911.21,25803.86,13032.34,42151.5,40579.51,30405.19
1133018.7374,-1901.48,25750.54,12804.18,42121.75,40490.73,30342.39
1133018.7394,-1877.02,25728.04,12613.82,42117.27,40430.93,30308.06
1133018.7414,-1867.1,25694.9,12387.56,42100.67,40353.26,30265.19
1133018.7434,-1874.45,25749.45,12567.95,42135.05,40423.68,30317.5
1133018.7454,-1883.7,25794.08,12781.86,42155.51,40497.98,30364.56
1133018.7474,-1896.19,25826.36,12966.11,42170.01,40562.68,30405.67
1133018.7494,-1911.93,25848.96,13142.16,42179.16,40621.76,30442.15
1133018.7514,-1918.27,25813.49,13099.2,42154.75,40601.5,30418.83
1133018.7534,-1911.64,25758.7,12865.31,42124.23,40516.86,30357.08
1133018.7554,-1898.67,25728.42,12686.16,42109.49,40452.68,30315.07
1133018.7574,-1880.03,25685.84,12416.98,42092.14,40359.07,30269.58
1133018.7594,-1882.27,25726.66,12480.17,42123.94,40391.74,30304.44
1133018.7614,-1898.81,25778.11,12704.85,42146.83,40466.36,30352.41
1133018.7634,-1909.83,25806.57,12895.54,42153.32,40524.63,30390.5
1133018.7654,-1914.5,25827.17,13070.78,42159.13,40583.71,30423.69
1133018.7674,-1918.22,25825.69,13147.21,42158.8,40616.95,30437.43
1133018.7694,-1921.94,25761.46,12929.06,42119.65,40534.02,30377.15
1133018.7714,-1900.53,25741.82,12760.74,42120.51,40484.58,30345.59
1133018.7734,-1869.63,25704.77,12512.49,42107.49,40403.75,30299.76
1133018.7754,-1865.24,25702.19,12420.32,42113.6,40373.38,30293.9
1133018.7774,-1893.9,25751.59,12627.75,42137.06,40442.19,30336.91
1133018.7794,-1911.02,25792.51,12842.94,42154.13,40513.9,30378.77
1133018.7814,-1913.83,25811.87,12996.48,42158.23,40562.21,30407.48
1133018.7834,-1913.55,25834.71,13169.43,42169.1,40627.1,30443.39
1133018.7854,-1902.53,25790.46,13020.14,42146.5,40576.03,30402.47
1133018.7874,-1888.13,25759.51,12824.25,42131.38,40510.23,30356.32
1133018.7894,-1882.41,25716.26,12598.71,42107.73,40428.02,30299.43
1133018.7914,-1867.34,25691.66,12400.53,42100.05,40361.93,30269.58
1133018.7934,-1871.25,25740.67,12551.26,42129.71,40412.19,30312.21
1133018.7954,-1895.9,25782.54,12788.54,42143.87,40485.96,30357.03
1133018.7974,-1907.3,25799.9,12929.39,42145.92,40530.16,30380.01
1133018.7994,-1917.41,25829.84,13136.34,42160.23,40603.02,30424.22
1133018.8014,-1919.13,25787.98,13076.45,42131.14,40572.98,30392.56
1133018.8034,-1904.92,25747.21,12871.65,42116.55,40504.6,30345.44
1133018.8054,-1889.37,25721.74,12675.43,42107.78,40440.09,30303.15
1133018.8074,-1872.4,25695.85,12443.5,42099.77,40367.75,30268.58
1133018.8094,-1875.97,25723.03,12473.87,42118.55,40383.96,30290.42
1133018.8114,-1887.94,25772.96,12721.49,42139.68,40464.22,30340.72
1133018.8134,-1891.18,25791.46,12869.41,42141.25,40508.66,30364.47
1133018.8154,-1900.15,25822.55,13072.16,42157.23,40579.28,30413.54
1133018.8174,-1917.7,25806.1,13126.71,42143.54,40592.72,30412.01
1133018.8194,-1910.31,25759.18,12937.93,42116.07,40525.92,30364.56
1133018.8214,-1900.48,25722.46,12733.79,42100.1,40454.11,30314.78
1133018.8234,-1882.12,25689.27,12515.12,42090.37,40384.82,30278.3
1133018.8254,-1880.03,25682.98,12399.96,42090.33,40347.15,30266.29
1133018.8274,-1894.09,25733.81,12613.92,42112.16,40418.63,30314.12
1133018.8294,-1902.34,25764.75,12802.98,42122.56,40476.8,30348.45
1133018.8314,-1912.78,25793.13,12988.9,42132.91,40538.36,30385.97
1133018.8334,-1929.33,25803.9,13136.91,42138.53,40593.58,30412.77
1133018.8354,-1925.8,25764.71,13006.26,42114.93,40548.09,30379.06
1133018.8374,-1908.83,25732.42,12794.59,42100.86,40481.72,30337.62
1133018.8394,-1901.77,25708.63,12601.66,42096.76,40421.63,30301.72
1133018.8414,-1893.43,25678.73,12389.47,42087.13,40350.3,30265.81
1133018.8434,-1890.04,25729.71,12543.3,42120.03,40409.0,30315.45
1133018.8454,-1904.06,25757.51,12747.48,42123.08,40464.79,30344.44
1133018.8474,-1903.06,25789.31,12919.14,42136.34,40524.39,30381.49
1133018.8494,-1928.76,25818.49,13117.6,42149.31,40596.92,30424.5
1133018.8514,-1931.24,25784.78,13071.82,42127.19,40573.89,30402.85
1133018.8534,-1909.59,25727.99,12847.23,42097.38,40491.54,30343.58
1133018.8554,-1890.52,25702.81,12665.75,42092.04,40431.79,30304.44
1133018.8574,-1879.98,25665.19,12430.81,42072.73,40350.73,30260.04
1133018.8594,-1874.54,25688.99,12446.64,42088.04,40358.36,30273.49
1133018.8614,-1883.98,25742.01,12687.88,42114.55,40438.13,30324.75
1133018.8634,-1896.91,25774.82,12865.26,42130.38,40500.07,30363.28
1133018.8654,-1920.56,25797.99,13053.13,42139.2,40562.78,30400.47
1133018.8674,-1931.48,25790.41,13111.88,42129.57,40583.09,30403.33
1133018.8694,-1922.08,25745.35,12925.82,42104.63,40517.05,30355.79
1133018.8714,-1900.15,25720.79,12731.79,42097.19,40453.34,30313.78
1133018.8734,-1887.75,25685.93,12521.7,42085.56,40386.68,30276.49
1133018.8754,-1882.74,25675.82,12390.19,42088.04,40344.58,30262.9
1133018.8774,-1895.05,25734.86,12622.5,42120.89,40428.4,30320.27
1133018.8794,-1901.25,25769.62,12816.96,42134.48,40491.4,30359.18
1133018.8814,-1909.92,25791.27,12990.81,42142.83,40550.14,30396.23
1133018.8834,-1936.2,25797.13,13121.56,42143.54,40595.73,30419.4
1133018.8854,-1948.88,25751.64,13001.25,42112.21,40545.85,30376.44
1133018.8874,-1929.0,25713.35,12784.82,42091.33,40465.74,30316.17
