TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133267.3351,-4024.12,20729.69,9305.1,36217.36,32667.12,24318.79
1133267.3371,-4015.02,20765.26,9443.19,36237.01,32736.45,24373.01
1133267.3391,-4022.84,20780.61,9552.15,36243.44,32786.99,24410.3
1133267.3411,-4033.61,20782.85,9627.49,36240.96,32831.39,24440.43
1133267.3431,-4011.58,20754.91,9548.95,36224.8,32797.05,24411.16
1133267.3451,-3987.41,20727.59,9421.16,36212.16,32736.11,24364.62
1133267.3471,-3992.89,20693.4,9288.93,36191.66,32665.21,24309.02
1133267.3491,-3986.36,20674.61,9168.44,36177.4,32597.45,24259.76
1133267.3511,-3993.37,20712.76,9248.69,36202.15,32640.6,24296.81
1133267.3531,-4021.36,20748.38,9391.64,36225.04,32709.55,24344.3
1133267.3551,-4053.07,20774.7,9509.14,36238.2,32761.96,24383.69
1133267.3571,-4070.28,20785.05,9614.04,36244.25,32823.61,24431.23
1133267.3591,-4047.16,20752.86,9574.84,36223.94,32806.92,24413.11
1133267.3611,-4018.16,20712.66,9441.81,36202.53,32742.31,24363.09
1133267.3631,-4007.2,20685.87,9318.35,36191.13,32683.33,24317.46
1133267.3651,-3990.94,20664.17,9185.32,36183.27,32619.05,24275.88
1133267.3671,-3987.69,20690.49,9206.34,36206.39,32628.97,24296.76
1133267.3691,-4009.58,20728.59,9350.92,36221.08,32695.44,24347.02
1133267.3711,-4027.99,20748.19,9461.36,36223.08,32739.98,24374.39
1133267.3731,-4041.34,20774.56,9582.62,36240.77,32809.36,24428.23
1133267.3751,-4060.55,20757.92,9605.27,36227.28,32823.04,24435.14
1133267.3771,-4050.73,20726.16,9497.02,36210.11,32773.36,24397.09
1133267.3791,-4045.68,20701.32,9372.28,36196.14,32710.46,24346.64
1133267.3811,-4038.62,20675.61,9243.92,36187.32,32646.37,24300.34
1133267.3831,-4031.9,20671.04,9166.53,36186.46,32604.32,24274.78
1133267.3851,-4035.04,20718.29,9301.04,36213.83,32674.36,24327.61
1133267.3871,-4032.66,20749.52,9433.08,36229.9,32735.26,24368.91
1133267.3891,-4041.82,20770.5,9548.86,36241.25,32792.29,24415.69
1133267.3911,-4058.93,20769.03,9614.75,36233.33,32825.24,24437.43
1133267.3931,-4059.36,20729.93,9535.36,36209.16,32785.56,24401.72
1133267.3951,-4052.26,20690.06,9391.5,36187.56,32715.99,24347.98
1133267.3971,-4053.55,20671.99,9278.58,36182.41,32666.35,24308.83
1133267.3991,-4018.12,20663.55,9157.94,36181.64,32607.03,24272.59
1133267.4011,-4009.91,20703.75,9253.31,36211.07,32660.49,24321.8
1133267.4031,-4025.46,20737.6,9394.07,36229.19,32725.48,24372.53
1133267.4051,-4049.35,20755.25,9507.8,36236.2,32773.4,24407.29
1133267.4071,-4071.19,20765.74,9599.35,36239.34,32821.9,24442.96
1133267.4091,-4072.86,20749.76,9582.38,36225.18,32820.37,24443.34
1133267.4111,-4053.21,20710.71,9447.15,36205.44,32756.0,24390.41
1133267.4131,-4041.53,20684.01,9333.33,36195.76,32701.45,24349.22
1133267.4151,-4029.47,20652.34,9176.45,36176.21,32617.48,24288.85
