TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1051719.796,13296.03,4105.52,-5150.37,10477.5,27738.29,-3022.48,4872.66,24807.98
1051719.8,13330.65,4252.24,-5084.61,10491.56,27920.11,-2846.29,5716.56,24902.16
1051719.804,13334.9,4226.78,-5099.34,10495.85,27560.38,-3189.61,4504.63,24738.93
1051719.808,13291.79,4060.7,-5186.65,10470.82,27334.17,-3412.53,3499.08,24585.3
1051719.812,13271.67,4056.64,-5195.81,10455.51,27668.86,-3067.68,4615.12,24793.82
1051719.816,13305.62,4217.72,-5109.45,10468.29,27924.73,-2808.52,5680.04,24977.5
1051719.82,13314.92,4220.63,-5111.74,10453.7,27645.07,-3127.29,4808.86,24745.32
1051719.824,13290.74,4080.92,-5168.39,10466.96,27346.09,-3390.88,3520.16,24659.16
1051719.828,13280.06,4043.63,-5189.75,10451.94,27634.0,-3080.56,4402.97,24873.78
1051719.832,13304.76,4184.77,-5130.82,10447.69,27922.2,-2779.77,5619.62,25072.67
1051719.836,13313.96,4246.76,-5104.54,10459.62,27708.34,-3073.07,5036.93,24793.68
1051719.84,13308.0,4135.75,-5152.56,10463.05,27322.82,-3456.5,3538.28,24539.28
1051719.844,13292.46,4072.24,-5170.16,10484.84,27547.65,-3207.83,4107.52,24709.7
1051719.848,13296.51,4174.95,-5119.61,10465.29,27885.49,-2896.21,5474.76,24880.84
1051719.852,13327.55,4258.2,-5085.85,10469.72,27792.22,-3011.7,5319.07,24816.56
1051719.856,13322.21,4171.61,-5120.95,10491.18,27384.09,-3371.95,3735.73,24672.65
1051719.86,13289.55,4049.44,-5187.18,10467.44,27496.91,-3262.23,3851.51,24728.4
1051719.864,13305.9,4163.31,-5136.92,10450.32,27862.7,-2914.0,5269.58,24900.01
1051719.868,13323.12,4258.44,-5101.01,10453.7,27863.7,-2934.55,5499.6,24888.47
1051719.872,13311.29,4176.66,-5146.17,10442.31,27459.29,-3333.09,3987.98,24684.77
1051719.876,13268.66,4044.72,-5190.18,10460.19,27446.85,-3314.26,3684.81,24703.46
1051719.88,13268.19,4119.68,-5155.42,10466.34,27830.22,-2933.84,5104.83,24906.73
1051719.884,13296.94,4249.76,-5101.01,10449.17,27931.46,-2863.74,5696.44,24939.35
1051719.888,13304.38,4201.79,-5132.49,10455.09,27537.25,-3254.22,4305.55,24728.44
