TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1051853.1938,12187.48,5378.96,-4634.86,11459.3,28096.39,4364.78,12762.69,18627.36
1051853.1978,12241.22,5454.02,-4573.39,11497.4,28121.38,4296.16,12654.16,18636.32
1051853.2018,12194.87,5390.22,-4625.99,11462.64,28149.32,4479.98,12881.28,18693.4
1051853.2058,12126.45,5321.65,-4704.38,11391.31,28191.71,4775.38,13416.34,18793.3
1051853.2098,12193.11,5426.74,-4626.7,11431.65,28178.41,4680.68,13380.91,18751.53
1051853.2138,12202.88,5467.84,-4594.18,11438.8,28101.26,4456.19,13067.63,18657.4
1051853.2178,12153.39,5387.93,-4658.03,11401.65,28079.47,4507.35,13045.36,18679.43
1051853.2218,12148.76,5354.12,-4676.58,11419.25,28155.95,4792.74,13439.85,18799.69
1051853.2258,12143.37,5369.09,-4676.87,11397.36,28117.71,4665.38,13359.45,18723.2
1051853.2298,12177.37,5426.07,-4632.71,11409.52,28040.7,4374.65,12964.44,18590.79
1051853.2338,12167.26,5393.32,-4649.31,11415.63,28032.21,4383.28,12856.63,18607.9
1051853.2378,12203.17,5391.84,-4632.09,11468.79,28148.8,4703.14,13253.83,18765.59
1051853.2418,12203.98,5414.06,-4618.12,11470.99,28125.1,4648.26,13277.06,18715.43
1051853.2458,12205.08,5436.56,-4620.08,11432.27,28028.11,4326.44,12869.03,18558.31
1051853.2498,12191.73,5405.95,-4637.81,11426.59,27989.1,4246.76,12676.19,18502.62
1051853.2538,12199.26,5377.82,-4650.45,11452.49,28101.16,4560.57,13039.73,18665.03
1051853.2578,12233.64,5422.59,-4620.7,11472.18,28141.93,4643.44,13225.6,18690.35
1051853.2618,12246.23,5465.84,-4588.51,11472.37,28062.25,4352.71,12830.69,18535.57
1051853.2658,12236.93,5452.01,-4595.42,11465.98,28036.07,4261.54,12608.1,18494.32
1051853.2698,12155.49,5335.19,-4692.84,11403.32,28058.2,4462.05,12821.06,18543.48
1051853.2738,12167.12,5353.12,-4674.63,11430.84,28132.63,4647.45,13137.68,18616.63
1051853.2778,12197.54,5411.91,-4632.09,11441.47,28082.47,4391.48,12814.09,18485.83
1051853.2818,12172.22,5388.93,-4657.75,11401.94,28017.29,4205.13,12490.85,18370.49
1051853.2858,12163.83,5339.81,-4681.64,11411.14,28077.08,4421.23,12683.11,18464.57
1051853.2898,12146.86,5315.59,-4701.42,11407.23,28133.44,4631.85,13058.04,18514.78
1051853.2937,12142.52,5346.82,-4684.07,11396.65,28043.85,4365.02,12737.7,18356.61
1051853.2977,12163.12,5378.2,-4659.03,11406.85,27997.07,4144.76,12391.47,18242.5
1051853.3017,12120.3,5300.95,-4714.87,11377.77,28016.05,4276.47,12478.16,18273.02
1051853.3057,12115.53,5278.35,-4731.51,11382.58,28082.52,4545.4,12888.96,18352.89
1051853.3097,12133.03,5318.07,-4709.2,11381.06,28017.0,4344.08,12663.65,18223.34
1051853.3137,12160.68,5365.42,-4664.47,11406.04,27966.07,4096.7,12269.07,18081.09
1051853.3177,12137.94,5312.54,-4701.23,11389.3,27951.63,4146.05,12245.56,18027.83
1051853.3217,12131.45,5280.69,-4737.85,11377.81,28027.35,4437.26,12664.56,18108.37
1051853.3257,12155.44,5326.41,-4701.71,11395.36,27994.68,4322.77,12559.56,18034.03
1051853.3297,12150.72,5345.87,-4677.49,11396.31,27889.83,3999.33,12102.7,17863.66
1051853.3337,12159.25,5333.0,-4676.39,11414.82,27912.14,4059.41,12081.05,17874.24
1051853.3377,12161.49,5307.01,-4696.18,11419.15,28040.41,4439.78,12572.58,18018.77
1051853.3417,12158.3,5331.18,-4676.15,11421.82,28035.6,4431.39,12658.98,17922.59
1051853.3457,12151.2,5351.35,-4671.96,11398.65,27934.94,4100.32,12248.57,17665.91
1051853.3497,12145.0,5334.0,-4691.84,11379.72,27944.47,4095.7,12174.04,17571.26
1051853.3537,12123.78,5290.65,-4717.64,11390.83,28042.51,4430.25,12606.72,17742.87
1051853.3577,12143.66,5326.18,-4694.37,11405.28,28080.13,4533.86,12839.18,17843.15
1051853.3617,12176.09,5388.17,-4646.25,11415.67,28011.8,4230.74,12452.27,17709.4
1051853.3657,12127.31,5335.05,-4696.56,11365.03,27936.08,4080.44,12196.21,17619.04
1051853.3697,12115.05,5281.54,-4739.57,11353.16,28013.28,4361.92,12526.8,17741.01
1051853.3737,12104.89,5284.79,-4730.42,11369.85,28070.36,4545.16,12874.8,17809.15
1051853.3777,12118.91,5332.38,-4692.89,11374.95,27980.24,4233.27,12493.85,17641.98
1051853.3817,12156.2,5373.76,-4653.31,11405.28,27951.05,4084.49,12218.91,17569.5
1051853.3857,12135.94,5320.88,-4693.75,11389.4,27997.31,4307.46,12444.5,17645.55
1051853.3897,12092.16,5277.06,-4738.52,11346.58,28038.6,4530.67,12858.54,17706.92
1051853.3937,12147.14,5361.13,-4663.75,11381.96,27996.73,4299.93,12580.73,17589.57
1051853.3977,12116.48,5336.67,-4694.51,11344.58,27885.34,4019.17,12162.45,17408.47
