TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1052098.23,9057.24,3174.88,-6409.6,5618.76,21360.11,-6576.54,-7681.42,9572.75
1052098.234,9048.08,3225.23,-6391.76,5601.69,21344.52,-6652.07,-7699.68,9503.84
1052098.238,9042.79,3194.05,-6395.15,5621.48,21321.97,-6676.01,-7877.59,9520.15
1052098.242,9020.71,3109.6,-6440.74,5609.89,21320.77,-6617.26,-7909.06,9581.81
1052098.246,9037.31,3155.28,-6419.52,5602.03,21352.72,-6581.12,-7759.48,9579.8
1052098.25,9045.84,3228.47,-6389.14,5592.3,21345.81,-6645.78,-7737.35,9507.04
1052098.254,9060.38,3224.28,-6386.66,5599.45,21314.19,-6687.12,-7902.53,9504.89
1052098.258,9031.54,3129.58,-6438.92,5581.62,21306.9,-6638.72,-7991.89,9571.51
1052098.262,8997.63,3112.89,-6462.91,5546.86,21313.86,-6610.73,-7870.29,9561.54
1052098.266,9025.62,3204.16,-6412.22,5558.21,21333.6,-6644.92,-7795.72,9518.43
1052098.27,9012.08,3190.71,-6431.1,5541.42,21295.12,-6705.05,-7938.72,9488.77
1052098.274,8993.44,3107.55,-6465.96,5549.38,21285.58,-6669.62,-8059.36,9548.57
1052098.278,8942.27,3056.67,-6512.21,5501.65,21297.36,-6622.65,-7922.03,9554.48
1052098.282,8927.06,3115.13,-6487.56,5485.2,21312.67,-6663.13,-7817.17,9498.98
1052098.286,8921.24,3134.2,-6470.73,5497.74,21300.41,-6710.58,-7877.92,9477.76
1052098.29,8886.43,3040.46,-6518.41,5485.2,21272.57,-6699.94,-8024.17,9523.35
1052098.294,8845.9,2978.09,-6572.06,5438.61,21293.31,-6632.95,-7872.3,9549.38
1052098.298,8831.07,3029.25,-6556.61,5417.68,21324.3,-6648.16,-7717.18,9512.62
1052098.302,8813.67,3045.46,-6557.04,5400.85,21323.64,-6691.79,-7723.19,9485.87
1052098.3059,8782.96,2955.39,-6616.31,5372.48,21292.21,-6698.7,-7885.93,9517.43
1052098.3099,8757.5,2887.06,-6670.9,5334.81,21317.77,-6608.53,-7750.23,9573.84
1052098.3139,8723.07,2910.57,-6671.76,5304.81,21326.78,-6626.18,-7590.87,9525.54
1052098.3179,8715.58,2951.34,-6658.32,5295.8,21315.77,-6682.25,-7568.46,9484.44
1052098.3219,8698.51,2890.4,-6697.04,5288.32,21288.06,-6689.6,-7711.17,9522.25
1052098.3259,8668.85,2806.57,-6747.44,5275.3,21291.45,-6609.54,-7642.46,9581.61
1052098.3299,8659.27,2837.23,-6741.72,5258.37,21322.63,-6596.66,-7458.93,9563.11
1052098.3339,8666.47,2894.69,-6719.4,5252.98,21326.21,-6653.88,-7409.95,9516.14
1052098.3379,8614.4,2804.42,-6799.41,5189.61,21258.07,-6723.07,-7616.28,9489.2
1052098.3419,8574.49,2699.71,-6869.84,5158.81,21261.65,-6649.92,-7626.96,9550.1
1052098.3459,8562.61,2710.87,-6875.09,5141.07,21292.36,-6612.35,-7445.91,9549.19
1052098.3499,8576.35,2779.63,-6845.81,5138.4,21316.48,-6651.12,-7363.75,9510.28
1052098.3539,8568.29,2750.92,-6866.74,5132.2,21288.97,-6695.94,-7503.94,9505.18
1052098.3579,8555.03,2666.95,-6910.04,5131.91,21286.3,-6636.48,-7562.69,9573.75
1052098.3619,8552.6,2672.91,-6908.32,5129.67,21314.29,-6587.65,-7381.2,9581.28
1052098.3659,8555.41,2738.48,-6885.34,5119.9,21312.91,-6643.01,-7303.86,9526.44
1052098.3699,8562.52,2741.67,-6884.91,5118.8,21292.83,-6697.04,-7410.96,9500.17
1052098.3739,8544.26,2655.41,-6928.4,5114.51,21273.62,-6677.44,-7524.78,9528.69
1052098.3779,8537.58,2643.2,-6939.7,5109.26,21299.98,-6604.39,-7349.97,9555.15
1052098.3819,8547.97,2714.87,-6905.84,5104.16,21309.76,-6650.4,-7245.88,9503.75
1052098.3859,8566.33,2746.73,-6889.25,5113.03,21296.07,-6701.28,-7315.97,9481.86
1052098.3899,8547.26,2660.47,-6939.36,5100.97,21267.61,-6688.93,-7489.21,9523.35
